"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12917","Maurice Harris","FA","WR",28,4,"WR","weighted",3.549,200,0.482,NA,3.549,3.549,44,-154.560468322756,594,-134.301,567,-175.981310633021,601
"12921","Tommylee Lewis","FA","WR",28,4,"WR","weighted",1.928,210,0.1305,NA,1.928,1.928,51,-156.181468322756,604,-135.922,578,-177.602310633021,610
"12923","C.J. Ham","MIN","RB",27,4,"RB","weighted",15.9531432973806,118,0.511749854757637,4.21082088196589,13.945,19.3090527522936,13,-112.772296244483,448,-96.372,371,-135.788308146876,465
"12929","Troymaine Pope","FA","RB",27,4,"RB","weighted",6.006,137,1.57759784283513,NA,6.006,6.006,14,-122.719439541864,495,-104.311,425,-149.09136089917,512
"12930","Robby Anderson","CAR","WR",27,4,"WR","weighted",130.792564578967,54,1.97428297377729,27.0444418630584,100.9,168.200772727273,9,-27.3169037437895,205,-36.95,213,-11.3295379057479,145
"12955","Chris Manhertz","CAR","TE",28,4,"TE","weighted",17.3162040816327,89,0.487860033946991,8.2124645660384,8.006,25.945988372093,14,-106.384508101547,422,-98.9673333333333,391,-118.08768897073,416
"12956","Wil Lutz","NOS","K",26,4,"K","weighted",133.233648576684,2,6.39611066984997,27.2828971929864,98.2140890506547,157.803293408524,1,22.5793651861481,68,6.45883705123261,91,26.4088204793265,65
"13044","Matt Lengel","FA","TE",30,5,"TE","weighted",7.5862311248074,112,1.36825269645609,0.960251008851331,6.902,8.12523822629969,17,-116.114481058372,462,-100.071333333333,395,-135.908439116524,467
"13057","Tra Carson","FA","RB",28,4,"RB","weighted",2.916,142,0.437962249614793,NA,2.916,2.916,15,-125.809439541864,506,-107.401,459,-152.18136089917,526
"13066","Kalif Raymond","TEN","WR",26,4,"WR","weighted",29.4955680933852,131,0.810460116731516,10.6063469774784,23.5,42.0269167701863,19,-128.613900229371,520,-114.35,498,-137.503393862834,474
"13108","J.D. McKissic","WAS","RB",27,4,"RB","weighted",54.3622234230337,82,1.84704426459975,41.5968197450261,17.028,101.201857798165,12,-74.3632161188299,313,-93.289,354,-53.8955031010047,279
"13113","Deshaun Watson","HOU","QB",25,3,"QB","weighted",326.589538476822,4,9.93506076449722,10.9552541843481,318.56,343.664436363636,3,50.7335511850994,36,62.0933333333333,29,36.3953321764251,54
"13115","Mitchell Trubisky","CHI","QB",26,3,"QB","weighted",198.363710123796,30,4.57634960289215,69.1426877510157,100.62,271.160798571429,8,-77.4922771679265,320,-155.846666666667,599,-36.1083056157827,232
"13116","Patrick Mahomes","KCC","QB",25,3,"QB","weighted",361.289478097014,2,32.0954759713487,14.0227590800026,345.18,381.684095987546,2,85.4334908052916,20,88.7133333333333,18,74.4149918003342,29
"13119","Joshua Dobbs","PIT","QB",25,3,"QB","weighted",0.3,76,0.0485,NA,0.3,0.3,15,-275.555987291722,664,-256.166666666667,637,-306.969104187211,667
"13125","C.J. Beathard","SFO","QB",27,3,"QB","weighted",3.62,73,1.65,NA,3.62,3.62,12,-272.235987291722,661,-252.846666666667,628,-303.649104187211,664
"13127","Nathan Peterman","LVR","QB",26,3,"QB","weighted",4.80664679582712,71,1.07383308494784,4.65276262020748,1.6,7.50489602446483,12,-271.049340495895,659,-254.866666666667,633,-299.764208162746,662
"13128","Dalvin Cook","MIN","RB",25,3,"RB","weighted",277.987148756628,4,7.76277746346631,22.0605062592888,260.35,312.368066453441,2,149.261709214765,4,150.033,4,157.270705554271,5
"13129","Leonard Fournette","TBB","RB",25,3,"RB","weighted",195.862578207916,21,10.7839610903476,63.1141641990973,142.4,285.145912177735,5,67.1371386660527,29,32.083,58,130.048551278565,13
"13130","Christian McCaffrey","CAR","RB",24,3,"RB","weighted",354.302259997964,1,48.8269860623999,31.9046590984581,319.37,399.818619444574,1,225.576820456101,1,209.053,1,244.721258545404,1
"13131","Joe Mixon","CIN","RB",24,3,"RB","weighted",240.03094494526,11,4.94745882767398,29.4005450386628,220.3,288.287852103446,4,111.305505403397,12,109.983,10,133.190491204276,10
"13132","Alvin Kamara","NOS","RB",25,3,"RB","weighted",273.109221525536,5,14.6596062450418,33.1879688310425,251.4,322.333520069817,2,144.383781983672,5,141.083,5,167.236159170647,4
"13133","Samaje Perine","CIN","RB",25,3,"RB","weighted",2.26343143297381,144,0.206893682588598,2.48548033587071,0,3.16077096273292,15,-126.46200810889,508,-110.317,485,-151.936589936437,523
"13135","Wayne Gallman","NYG","RB",26,3,"RB","weighted",17.4771166267657,116,0.83236786437276,9.33194893173648,10.016,28.1343119266055,13,-111.248322915098,442,-100.301,397,-126.963048972564,437
"13136","Corey Clement","PHI","RB",26,3,"RB","weighted",28.7651827407565,101,1.19816422223799,5.33704533258917,24.9,34.5148255813953,13,-99.9602568011071,391,-85.417,316,-120.582535317775,421
"13138","Kareem Hunt","CLE","RB",25,3,"RB","weighted",164.437100973644,27,8.05944680667073,17.6459696982831,145.7,189.677198652617,6,35.7116614317803,54,35.383,56,34.5798377534475,57
"13139","Jamaal Williams","GBP","RB",25,3,"RB","weighted",94.4669802733277,49,4.81921951438545,24.7982280892787,69.064,128.355306251736,10,-34.2584592685359,224,-41.253,218,-26.742054647434,208
"13144","Elijah McGuire","FA","RB",26,3,"RB","weighted",19.3000955315871,113,1.62509553158706,27.5269598848111,1.571,36.6368622324159,13,-109.425344010277,431,-108.746,469,-118.460498666754,418
"13146","James Conner","PIT","RB",25,3,"RB","weighted",206.058994507258,17,2.50880575758791,18.2903844720814,189.7,231.7634244555,5,77.3335549653946,23,79.383,20,76.6660635563305,26
"13148","Dare Ogunbowale","FA","RB",26,3,"RB","weighted",52,84,1.34110686997501,NA,52,52,12,-76.7254395418636,319,-58.317,256,-103.09736089917,382
"13153","Corey Davis","TEN","WR",25,3,"WR","weighted",117.617559721598,60,0.155181954730793,10.2055881076954,108.954,131.852363636364,10,-40.4919086011585,233,-28.896,196,-47.677946996657,264
"13154","Mike Williams","LAC","WR",26,3,"WR","weighted",129.08297668733,55,0.596156863289423,26.1778175424111,99.802,162.289863636364,9,-29.0264916354262,208,-38.048,216,-17.240446996657,171
"13155","John Ross","CIN","WR",25,3,"WR","weighted",82.4590906078761,87,1.26479774637517,9.11870224428006,72.1,94.1714534883721,13,-75.6503777148799,316,-65.75,265,-85.3588571446485,337
"13156","JuJu Smith-Schuster","PIT","WR",24,3,"WR","weighted",199.418464961111,13,1.75646493465763,10.3922728178235,187.45,213.472330960854,5,41.3089966383553,47,49.6,38,33.9420203278335,59
"13157","Curtis Samuel","CAR","WR",24,3,"WR","weighted",128.553586523049,56,0.328001533567118,20.9071400382146,111.608,156.181818181818,9,-29.5558817997073,211,-26.242,184,-23.3484924512024,201
"13158","Dede Westbrook","JAC","WR",27,3,"WR","weighted",93.720935113902,81,4.92425695327663,23.5679984740072,62.4,116.503333333333,11,-64.388533208854,291,-75.45,291,-63.0269772996873,299
"13162","Isaiah Ford","MIA","WR",24,3,"WR","weighted",52.7173281972265,117,2.51649171629598,38.2417489401309,25.468,74.1831470948012,16,-105.39214012553,418,-112.382,494,-105.347163538219,387
"13163","Chris Godwin","TBB","WR",24,3,"WR","weighted",209.609001469406,7,5.59133890984589,20.1429414653603,190.1,234.824590909091,4,51.49953314665,35,52.25,33,55.2942802760703,34
