"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12647","Will Fuller","HOU","WR",26,4,"WR","weighted",127.683071472109,35,1.58664173887797,24.5619479229165,95.8,156.165195729537,7,1.05776115925198,103,-10.7666666666667,134,14.2564214925051,79
"12650","Tyler Boyd","CIN","WR",26,4,"WR","weighted",131.079517679739,32,3.01100915778778,14.0618599160539,114.872,148.987409090909,7,4.45420736688118,92,8.30533333333334,83,7.07863485387685,88
"12652","Michael Thomas","NOS","WR",27,4,"WR","weighted",206.623611213441,1,12.079642207545,13.5678740276512,188.939,225.154768683274,1,79.9983009005838,19,82.3723333333333,16,83.2459944462418,21
"12656","Rashard Higgins","CLE","WR",26,4,"WR","weighted",45.2932842218003,109,0.930689467949506,11.9418786248528,35.027,56.720523255814,15,-81.332026091057,391,-71.5396666666667,331,-85.1882509812183,387
"12657","Tajae Sharpe","MIN","WR",26,4,"WR","weighted",41.1402385861561,116,2.07897613959061,33.3578707979239,18.152,78.5549696969697,15,-85.4850717267012,418,-88.4146666666667,442,-63.3538045400626,321
"12658","Sterling Shepard","NYG","WR",27,4,"WR","weighted",115.254990819359,40,0.868687920652832,6.79101012372552,109.3,125.188451957295,9,-11.3703194934985,153,2.73333333333335,95,-16.7203222797369,175
"12660","Pharoh Cooper","CAR","WR",25,4,"WR","weighted",14.2984988069044,154,1.47736475451608,9.86493939269584,5.422,22.6575535620053,18,-112.326811505953,529,-101.144666666667,546,-119.251220675027,490
"12667","Duke Williams","FA","WR",27,2,"WR","weighted",22.7,130,0.164832684824908,NA,22.7,22.7,17,-103.925310312857,487,-83.8666666666667,416,-119.208774237032,489
"12673","Charone Peake","FA","WR",28,4,"WR","weighted",6.792,171,0.0644029275808933,NA,6.792,6.792,19,-119.833310312857,565,-99.7746666666667,531,-135.116774237032,555
"12675","Mike Thomas","CIN","WR",26,4,"WR","weighted",1.5276779661017,207,0.126677966101695,2.17011071146151,0.005,2.76471723602484,20,-125.097632346756,601,-106.561666666667,587,-139.144057001007,597
"12676","Hunter Henry","LAC","TE",26,4,"TE","weighted",100.13340695314,9,0.883510836145973,14.0971030380749,85.6,119.6255,3,5.71521620213458,90,4.20299999999999,93,8.96218107895625,85
"12677","Austin Hooper","CLE","TE",26,4,"TE","weighted",95.9545456499471,12,2.30453234841183,11.2558318952129,82.5,108.600640569395,4,1.53635489894121,99,1.10299999999999,102,-2.06267835164874,120
"12678","Tyler Higbee","LAR","TE",27,4,"TE","weighted",100.026099848714,10,2.81198083110313,21.1007422641785,80.6,130.850836298932,3,5.60790909770823,91,-0.796999999999997,108,20.1875173778886,71
"12680","Nick Vannett","DEN","TE",27,4,"TE","weighted",20.6182773207991,68,0.787824009221175,8.07962006120857,7.014,26.9547093023256,8,-73.7999134302068,353,-74.383,347,-83.7086096187182,380
"12681","Jerell Adams","FA","TE",28,4,"TE","weighted",9,102,0.517935963067853,NA,9,9,9,-85.4181907510059,417,-72.397,339,-101.663318921044,438
"12773","Chris Moore","BAL","WR",27,4,"WR","weighted",11.1695161787365,160,0.402717257318951,6.09667466739041,6.478,14.2443917431193,19,-115.455794134121,552,-100.088666666667,535,-127.664382493913,523
"12785","Demarcus Robinson","KCC","WR",26,4,"WR","weighted",49.2885466748017,106,2.66495513900741,20.9090224052122,23.324,73.8879181494662,15,-77.3367636380556,371,-83.2426666666667,414,-68.0208560875661,333
